
1.1.true
Vehicle TOPO

ReqID,	a(SrcNode),	i(DesNode),	k(Path),	p(Ratio),	dtTrans,	tArrival,	start,	end,	timeSer(PSO),	t_wait,	t_proc,	t_serv,	moved_data,
46,	V8,	V3,	V8,	0.0606060606060606,	0.1212121212121212,	5.121212121212121,	9.910424186618938,	10.910424186618938,	5.91042418661894,	4.789212065406817,	1.0,	5.910424186618938,	0.0
46,	V8,	V4,	V8,	0.0606060606060606,	0.1212121212121212,	5.121212121212121,	10.242424242424242,	11.242424242424242,	6.242424242424242,	5.121212121212121,	1.0,	6.242424242424242,	0.0
46,	V8,	V8,	V8,	0.7575757575757578,	0.0,	5.0,	5.0,	6.0,	12.500000000000004,	0.0,	1.0,	1.0,	348.48484848484856
46,	V8,	V13,	V8,	0.0606060606060606,	0.1212121212121212,	5.121212121212121,	10.242424242424242,	11.242424242424242,	6.242424242424242,	5.121212121212121,	1.0,	6.242424242424242,	0.0
46,	V8,	V14,	V8,	0.0606060606060606,	0.1212121212121212,	5.121212121212121,	10.242424242424242,	11.242424242424242,	6.242424242424242,	5.121212121212121,	1.0,	6.242424242424242,	0.0
7,	V6,	V0,	V6,	0.0606060606060606,	0.1212121212121212,	6.121212121212121,	6.242424242424242,	7.242424242424242,	1.121212121212121,	0.1212121212121211,	1.0,	1.2424242424242422,	0.0
7,	V6,	V1,	V6,	0.0606060606060606,	0.1212121212121212,	6.121212121212121,	6.242424242424242,	7.242424242424242,	1.2424242424242429,	0.1212121212121211,	1.0,	1.2424242424242422,	0.0
7,	V6,	V5,	V6,	0.0606060606060606,	0.1212121212121212,	6.121212121212121,	6.186374860275242,	7.186374860275242,	1.1863748602752422,	0.06516273906312087,	1.0,	1.186374860275242,	0.0
7,	V6,	V6,	V6,	0.7020317015193496,	0.0,	6.0,	6.0,	7.0,	11.583523075069268,	0.0,	1.0,	1.0,	320.71282045664447
7,	V6,	V7,	V6,	0.05554405605640817,	0.11108811211281634,	6.111088112112816,	8.497410293911782,	9.413887218842518,	3.4455367982375216,	2.386322181798966,	0.9164769249307358,	3.4138872188425182,	0.0
7,	V6,	V11,	V6,	0.0606060606060606,	0.1212121212121212,	6.121212121212121,	6.161313178855003,	7.161313178855003,	1.121212121212121,	0.04010105764288152,	1.0,	1.1613131788550026,	0.0
27,	V9,	V3,	V9,	0.0606060606060606,	0.1212121212121212,	6.121212121212121,	10.910424186618938,	11.910424186618938,	6.91042418661894,	4.789212065406817,	1.0,	5.910424186618938,	0.0
27,	V9,	V4,	V9,	0.0606060606060606,	0.1212121212121212,	6.121212121212121,	11.242424242424242,	12.242424242424242,	7.242424242424243,	5.121212121212121,	1.0,	6.242424242424242,	0.0
27,	V9,	V9,	V9,	0.7575757575757578,	0.0,	6.0,	6.0,	7.0,	12.500000000000004,	0.0,	1.0,	1.0,	348.48484848484856
27,	V9,	V13,	V9,	0.0606060606060606,	0.1212121212121212,	6.121212121212121,	11.242424242424242,	12.242424242424242,	7.242424242424243,	5.121212121212121,	1.0,	6.242424242424242,	0.0
27,	V9,	V14,	V9,	0.0606060606060606,	0.1212121212121212,	6.121212121212121,	11.242424242424242,	12.242424242424242,	7.242424242424243,	5.121212121212121,	1.0,	6.242424242424242,	0.0
47,	V8,	V3,	V8,	0.0606060606060606,	0.1212121212121212,	6.121212121212121,	11.910424186618938,	12.910424186618938,	6.91042418661894,	5.789212065406817,	1.0,	6.910424186618938,	0.0
47,	V8,	V4,	V8,	0.0606060606060606,	0.1212121212121212,	6.121212121212121,	12.242424242424242,	13.242424242424242,	7.242424242424243,	6.121212121212121,	1.0,	7.242424242424242,	0.0
47,	V8,	V8,	V8,	0.7575757575757578,	0.0,	6.0,	6.0,	7.0,	12.500000000000004,	0.0,	1.0,	1.0,	348.48484848484856
47,	V8,	V13,	V8,	0.0606060606060606,	0.1212121212121212,	6.121212121212121,	12.242424242424242,	13.242424242424242,	7.242424242424243,	6.121212121212121,	1.0,	7.242424242424242,	0.0
47,	V8,	V14,	V8,	0.0606060606060606,	0.1212121212121212,	6.121212121212121,	12.242424242424242,	13.242424242424242,	7.242424242424243,	6.121212121212121,	1.0,	7.242424242424242,	0.0
8,	V6,	V0,	V6,	0.05691745332897759,	0.11383490665795518,	7.113834906657956,	7.242424242424242,	8.181562222352373,	1.0529728865860863,	0.12858933576628662,	0.9391379799281303,	1.181562222352372,	0.0
8,	V6,	V1,	V6,	0.0606060606060606,	0.1212121212121212,	7.121212121212121,	7.242424242424242,	8.242424242424242,	1.2424242424242429,	0.1212121212121211,	1.0,	1.2424242424242422,	0.0
8,	V6,	V5,	V6,	0.0606060606060606,	0.1212121212121212,	7.121212121212121,	7.186374860275242,	8.186374860275242,	1.1863748602752422,	0.06516273906312087,	1.0,	1.186374860275242,	0.0
8,	V6,	V6,	V6,	0.7102536969601717,	0.0,	7.0,	7.0,	8.0,	11.719185999842834,	0.0,	1.0,	1.0,	324.82381817705556
8,	V6,	V7,	V6,	0.0606060606060606,	0.1212121212121212,	7.121212121212121,	9.413887218842518,	10.413887218842518,	3.455660807336825,	2.292675097630397,	1.0,	3.4138872188425182,	0.0
8,	V6,	V11,	V6,	0.051010667892669066,	0.10202133578533813,	7.102021335785338,	7.161313178855003,	8.002989199084043,	0.9436973560143778,	0.05929184306966473,	0.8416760202290403,	1.0029891990840432,	0.0
28,	V9,	V3,	V9,	0.0606060606060606,	0.1212121212121212,	7.121212121212121,	12.910424186618938,	13.910424186618938,	7.910424186618941,	5.789212065406817,	1.0,	6.910424186618938,	0.0
28,	V9,	V4,	V9,	0.0606060606060606,	0.1212121212121212,	7.121212121212121,	13.242424242424242,	14.242424242424242,	8.242424242424244,	6.121212121212121,	1.0,	7.242424242424242,	0.0
